City,Latitude,Longitude
Quezon City,14.6510546,121.0486254
Manila,14.5904492,120.9803621
Paranaque,14.5008116,120.9915327
Taguig,14.5270538,121.0744942
Mandaluyong,14.5774392,121.0338973
San Juan,14.6044363,121.0299469
Malabon,14.6578504,120.9511261
Las Pinas,14.4809012,120.9817861
Marikina,14.6331084,121.0993541
Navotas,14.6571862,120.9479692
Muntinlupa,14.3892634,121.0449101
Pasay,14.5436995,120.9946503
Valenzuela,14.6916903,120.9694534
Makati,14.5567949,121.0211226
Caloocan,14.6513480,120.9724002
Pasig,14.5605166,121.0764343
