city,mean_absolute_error,mean_squared_error,r_squared
Carmona (Before Validation),2.2820931659654473,53.57213267065012,0.9990172831160408
Alfonso (Before Validation),2.8943240980562184,88.13058961787314,0.9983056761716719
Bacoor (Before Validation),2.245217028884287,58.88106309837357,0.9988374444898732
Amadeo (Before Validation),2.4707503949130936,62.74484644068682,0.998566716896762
Cavite City (Before Validation),1.3921056558243188,20.689112780506925,0.9995621601809048
General Mariano Alvarez (Before Validation),1.7811111925636076,38.3494213248355,0.9993155847531705
Dasmariñas (Before Validation),2.5069133007770845,83.15303328445788,0.9985219716781004
General Trias (Before Validation),1.9356914048508294,46.00229238744793,0.9991600977242698
Imus (Before Validation),2.2171766621418496,58.08784325274889,0.9988491550229387
Indang (Before Validation),2.576461878195802,61.88804884131101,0.9988795166681611
Kawit (Before Validation),2.2632977537515346,59.48105737507541,0.9988272114298197
Magallanes (Before Validation),2.97855571547985,98.9253821818933,0.9983379561339257
Maragondon (Before Validation),2.30361860871845,59.95227900267429,0.9988013717310159
Mendez (Before Validation),3.146333445438172,98.85300163460447,0.9979539185570832
Naic (Before Validation),3.2153255530040084,135.76238397608157,0.9974795197369438
Noveleta (Before Validation),2.248736572369669,58.85884624910052,0.9988370836978664
Rosario (Before Validation),2.0034561256556427,52.39920977474024,0.9990023887953071
Silang (Before Validation),2.275445645035159,61.46159641750362,0.9988009928380173
Tagaytay (Before Validation),2.3602388838370034,61.12721242392676,0.9985174799475512
Tanza (Before Validation),2.3493580361201087,58.38718733659338,0.9989060213433277
Ternate (Before Validation),2.3090443866906614,59.865541239156066,0.9988107123163521
Trece Martires (Before Validation),2.982782530230288,98.24483855064977,0.9982989499649135
